timestamp,typing_speed_kpm,avg_key_interval_ms,std_key_interval_ms,mistype_frequency,movement_distance_px,click_frequency,window_switch_count,temperature,humidity,pressure,pvt_rt,pvt_focus_score,alertness_level,pvt_lapse,target_focus_score,target_state,work_category_browsing,work_category_communication,work_category_development,work_category_document,work_category_other,hour_sin,hour_cos
1767887985.3220725,0,0.0,0.0,0,1.0,0,1,25.0,50.0,1013.25,3451.035817464193,0.0,非常に低い,1,0.0,Overheat,False,False,True,False,False,0.0,1.0
1767888045.3291216,64,351.2730030786423,1383.4578017594172,3,22804.21246756513,20,0,25.0,50.0,1013.25,3451.035817464193,0.0,非常に低い,1,0.0,Overheat,False,False,True,False,False,0.25881904510252074,0.9659258262890683
1767888105.3330002,18,3772.3931339051987,9762.121619779986,0,20631.8842694544,25,0,25.0,50.0,1013.25,3451.035817464193,0.0,非常に低い,1,0.0,Overheat,False,False,True,False,False,0.25881904510252074,0.9659258262890683
1767888165.3366857,48,1039.179320136706,1047.174199931789,0,38278.57081839265,20,1,25.0,50.0,1013.25,3451.035817464193,0.0,非常に低い,1,0.0,Overheat,True,False,False,False,False,0.25881904510252074,0.9659258262890683
1767888225.3402038,31,2322.717443589241,5745.18590429633,0,21386.76715718912,11,0,25.0,50.0,1013.25,3451.035817464193,0.0,非常に低い,1,0.0,Overheat,True,False,False,False,False,0.25881904510252074,0.9659258262890683
1767888285.3436553,81,178.1222967453945,231.32600101816212,7,8106.211106700492,5,1,25.0,50.0,1013.25,3451.035817464193,0.0,非常に低い,1,0.0,Overheat,False,False,False,True,False,0.25881904510252074,0.9659258262890683
1767888345.3475173,72,1319.3204204241435,6108.757303315653,10,8218.086823387383,22,1,25.0,50.0,1013.25,3451.035817464193,0.0,非常に低い,1,0.0,Overheat,True,False,False,False,False,0.25881904510252074,0.9659258262890683
1767888405.350839,77,845.5644799517347,3095.387364345645,3,22251.395186888618,25,1,25.0,50.0,1013.25,3451.035817464193,0.0,非常に低い,1,0.0,Overheat,False,False,False,True,False,0.25881904510252074,0.9659258262890683
1767888465.3543656,67,976.8662559452341,3373.004967635566,7,16865.80596740367,8,1,25.0,50.0,1013.25,3451.035817464193,0.0,非常に低い,1,0.0,Overheat,True,False,False,False,False,0.25881904510252074,0.9659258262890683
1767888525.3584902,157,380.5112762815633,2422.157323867694,4,10801.777520447924,5,1,25.0,50.0,1013.25,3451.035817464193,0.0,非常に低い,1,0.0,Overheat,False,True,False,False,False,0.25881904510252074,0.9659258262890683
1767888585.362089,164,275.58119994838063,1029.8330132636793,16,9107.667682951173,4,1,25.0,50.0,1013.25,3451.035817464193,0.0,非常に低い,1,0.0,Overheat,True,False,False,False,False,0.25881904510252074,0.9659258262890683
1767888645.3658159,22,1688.1600509990346,4717.114549064324,11,7020.36652342773,5,1,25.0,50.0,1013.25,3451.035817464193,0.0,非常に低い,1,0.0,Overheat,False,False,True,False,False,0.25881904510252074,0.9659258262890683
1767888705.3696384,55,1781.4295682040129,8421.549348953491,6,24838.06358819429,27,1,25.0,50.0,1013.25,3451.035817464193,0.0,非常に低い,1,0.0,Overheat,True,False,False,False,False,0.25881904510252074,0.9659258262890683
1767888765.372983,79,605.5243045468874,4012.638441538829,1,6349.262107321778,1,0,25.0,50.0,1013.25,3451.035817464193,0.0,非常に低い,1,0.0,Overheat,True,False,False,False,False,0.25881904510252074,0.9659258262890683
1767888825.3771205,16,1278.4585356712341,4319.179753074398,0,10137.876284218999,11,1,25.0,50.0,1013.25,3451.035817464193,0.0,非常に低い,1,0.0,Overheat,False,False,False,True,False,0.25881904510252074,0.9659258262890683
1767888885.3810909,42,1834.0009621211461,8956.758990267714,2,12380.64121732852,30,0,25.0,50.0,1013.25,3451.035817464193,0.0,非常に低い,1,0.0,Overheat,False,False,False,False,True,0.25881904510252074,0.9659258262890683
1767888945.3853285,37,2499.641547331939,6947.735229604093,6,15410.355956123723,37,0,25.0,50.0,1013.25,3451.035817464193,0.0,非常に低い,1,0.0,Overheat,False,False,False,True,False,0.25881904510252074,0.9659258262890683
1767889005.3895624,13,4705.665129881639,11205.177123243151,1,13805.46187398589,30,0,25.0,50.0,1013.25,3451.035817464193,0.0,非常に低い,1,0.0,Overheat,False,False,False,True,False,0.25881904510252074,0.9659258262890683
1767889065.392982,46,1326.094513354094,5591.405713816508,2,16446.151068850275,33,1,25.0,50.0,1013.25,3451.035817464193,0.0,非常に低い,1,0.0,Overheat,True,False,False,False,False,0.25881904510252074,0.9659258262890683
1767889125.3965225,60,984.7155372301737,3949.453854310421,6,16788.23155317577,13,1,25.0,50.0,1013.25,3451.035817464193,0.0,非常に低い,1,0.0,Overheat,True,False,False,False,False,0.25881904510252074,0.9659258262890683
1767889185.4005442,0,0.0,0.0,0,9066.514149823328,16,1,25.0,50.0,1013.25,3451.035817464193,0.0,非常に低い,1,0.0,Overheat,True,False,False,False,False,0.25881904510252074,0.9659258262890683
1767889245.4046006,4,26549.26460981369,40968.3902736191,0,9764.594698006218,8,1,25.0,50.0,1013.25,3451.035817464193,0.0,非常に低い,1,0.0,Overheat,True,False,False,False,False,0.25881904510252074,0.9659258262890683
1767889305.4090865,3,17433.668613433838,24277.385847453985,0,18919.611551872047,23,1,25.0,50.0,1013.25,3451.035817464193,0.0,非常に低い,1,0.0,Overheat,True,False,False,False,False,0.25881904510252074,0.9659258262890683
1767889365.4123042,49,1629.393246709084,8269.128046413633,23,12987.685031250934,22,1,25.0,50.0,1013.25,3451.035817464193,0.0,非常に低い,1,0.0,Overheat,False,False,False,True,False,0.25881904510252074,0.9659258262890683
1767889425.416003,51,1115.4544680726294,6790.850277964246,1,9074.45802406797,5,1,25.0,50.0,1013.25,3451.035817464193,0.0,非常に低い,1,0.0,Overheat,True,False,False,False,False,0.25881904510252074,0.9659258262890683
1767889485.4202878,18,3493.923783302307,4860.678792275348,11,17769.799388146468,35,1,25.0,50.0,1013.25,3451.035817464193,0.0,非常に低い,1,0.0,Overheat,False,False,False,True,False,0.25881904510252074,0.9659258262890683
1767889545.424166,52,1205.3602521236126,2616.402709091725,10,21024.84172282351,42,0,25.0,50.0,1013.25,3451.035817464193,0.0,非常に低い,1,0.0,Overheat,False,False,False,True,False,0.25881904510252074,0.9659258262890683
1767889605.4280584,125,478.08848762512207,1696.5932081355415,13,13248.000350157528,24,0,25.0,50.0,1013.25,3451.035817464193,0.0,非常に低い,1,0.0,Overheat,False,False,False,True,False,0.25881904510252074,0.9659258262890683
1767889665.431581,12,4548.92482360204,6487.236220431853,7,17535.34277501501,37,1,25.0,50.0,1013.25,3451.035817464193,0.0,非常に低い,1,0.0,Overheat,False,False,True,False,False,0.25881904510252074,0.9659258262890683
1767889725.4358509,27,997.9990146778248,3355.038339097364,0,24026.582161708153,6,1,25.0,50.0,1013.25,3451.035817464193,0.0,非常に低い,1,0.0,Overheat,True,False,False,False,False,0.25881904510252074,0.9659258262890683
1767889785.4390075,24,3088.4323020776114,13967.002631904568,0,14167.202711775612,12,1,25.0,50.0,1013.25,3451.035817464193,0.0,非常に低い,1,0.0,Overheat,True,False,False,False,False,0.25881904510252074,0.9659258262890683
1767889845.4440756,197,362.69655687554837,2311.234804917344,12,4717.193390816867,7,1,25.0,50.0,1013.25,3451.035817464193,0.0,非常に低い,1,0.0,Overheat,True,False,False,False,False,0.25881904510252074,0.9659258262890683
1767889905.4477706,6,5433.738191922505,8531.967429459099,0,11382.794369141047,17,1,25.0,50.0,1013.25,3451.035817464193,0.0,非常に低い,1,0.0,Overheat,False,True,False,False,False,0.25881904510252074,0.9659258262890683
1767889965.450522,0,0.0,0.0,0,12819.299793150321,31,1,25.0,50.0,1013.25,3451.035817464193,0.0,非常に低い,1,0.0,Overheat,False,False,False,True,False,0.25881904510252074,0.9659258262890683
1767890025.4539466,25,6131.529264450073,28872.7350683114,1,16217.01846996336,23,1,25.0,50.0,1013.25,3451.035817464193,0.0,非常に低い,1,0.0,Overheat,True,False,False,False,False,0.25881904510252074,0.9659258262890683
